LgEval Error Summary for: Results_result/result.diff
Tue Dec  6 02:39:58 2022

NOTE: This file contains 3 confusion matrices.

I. Node Label Confusion Matrix: 143 unique labels. ABSENT: a node missing in the output or target graph
Output:,'!','(',')','+','-','.','/','0','1','2','3','4','5','6','7','8','9','<','=','>','A','ABSENT','B','B_','C','COMMA','C_','Delta','E','E_','F','F_','G','H','H_','I','I_','L','L_','M','N','N_','P','P_','R','R_','S','T','T_','V','V_','X','X_','Y','[','\Delta','\alpha','\beta','\cos','\div','\exists','\forall','\gamma','\geq','\gt','\in','\infty','\int','\lambda','\ldots','\leq','\lim','\log','\lt','\mu','\neq','\phi','\pi','\pm','\prime','\rightarrow','\sigma','\sin','\sqrt','\sum','\tan','\theta','\times','\{','\}',']','a','b','beta','c','cos','d','div_op','dot','e','exists','f','g','gt','h','i','in','infty','int','j','k','l','leq','lim','lt','m','mu','n','neq','o','p','pipe','prime','q','r','rightarrow','s','sigma','sin','sqrt','t','tan','theta','times','u','v','w','x','y','z','{','|','}'
'T_',,18,16,34,7,,1,11,9,12,12,2,3,4,5,7,14,,17,1,2,,1,,,1,,,,,,,,,,,,,,2,1,,,,1,,,,,,,2,,,1,,2,3,1,,,,2,5,,,3,4,,,5,6,5,1,,,,3,,,3,,15,11,,7,3,,2,2,,4,1,,1,,1,,,,,2,4,,2,3,,,,,2,3,,,,16,,8,,,3,,,2,6,,1,,,,,,,,,4,1,18,9,3,,,
'V',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'V_',4,2,3,39,17,1,,4,13,87,14,9,6,,1,,4,,24,,,,1,,,4,,,,,,,,,,,,1,,1,,,1,,,,,,,1,,1,,1,,,,2,3,,,,,,,,,,,,,,,,2,,,4,,,,,2,3,5,2,,1,,,,14,6,,5,,1,,,3,,2,2,,,4,,,,,2,3,,,,3,,9,,,9,,,,,,,,,,4,,,,,1,,34,4,17,,,
'X',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'X_',,,1,,,,,,,,2,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,6,,,,,,,,,3,,,,,,,1,,,2,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,
'Y',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'[',,,14,21,46,1,,6,10,15,12,,3,,11,2,8,1,34,,1,,1,,1,2,,,,,,,1,,,,,,,,,,1,,,,2,,,,,2,,,,,,2,3,4,,,2,,,,1,,,,4,,,,,,,4,,,15,,17,2,2,2,3,,,,,13,,,3,,2,,,4,,,2,,,1,,,,6,3,,,,,1,,4,,,1,,,1,,,,,,,4,,,,,,,51,15,7,,,
'\Delta',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'\alpha',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'\beta',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
