File,Result,D_B,D_C,D_L,D_R,D_S,D_E(%),nNodes,nEdges,nSegRelEdges,dPairs,segPairErrors,nodeCorrect,edgeDiffClassCount,undirDiffClassCount,nSeg,detectedSeg,dSegRelEdges,CorrectSegments,CorrectSegmentsAndClass,ClassError,CorrectSegRels,CorrectSegRelLocations,SegRelErrors,hasCorrectSegments,hasCorrectSegLab,hasCorrectRelationLocations,hasCorrectRelLab,hasCorrectStructure
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_102_em_49.lg, Incorrect,3,2,1,1,0,0.5690355937288492,2,2,1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_50.lg, Incorrect,47,14,33,13,20,0.5857706952307393,14,182,9,23,10,0,0,0,10,6,0,1,0,10,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_51.lg, Incorrect,57,11,46,24,22,0.6979611287276071,11,110,3,31,11,0,8,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_52.lg, Incorrect,38,9,29,7,22,0.7291395190715196,9,72,5,17,11,0,2,1,6,3,0,0,0,6,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_53.lg, Incorrect,119,43,76,30,46,0.4549113776845383,43,1806,42,53,23,0,0,0,43,16,0,5,0,43,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_54.lg, Incorrect,62,17,45,17,28,0.5758630274566181,17,272,10,30,14,0,2,1,11,8,0,0,0,11,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_55.lg, Incorrect,66,20,46,22,24,0.5330795106480823,20,380,16,31,12,0,6,3,17,8,0,3,0,17,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_56.lg, Incorrect,30,8,22,4,18,0.7312432933472831,8,56,5,13,9,0,0,0,6,2,0,0,0,6,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_57.lg, Incorrect,39,12,27,11,16,0.600140776259347,12,132,9,17,8,0,4,2,10,4,0,1,0,10,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_58.lg, Incorrect,29,9,20,6,14,0.6560016095129427,9,72,6,13,7,0,0,0,7,4,0,0,0,7,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_59.lg, Incorrect,50,17,33,17,16,0.5302836326819836,17,272,13,25,8,0,0,0,14,7,0,3,0,14,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_60.lg, Incorrect,125,38,87,33,54,0.48157627357095406,38,1406,32,58,27,0,4,2,33,14,0,2,0,33,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_61.lg, Incorrect,93,30,63,29,34,0.47307306340161065,31,930,24,44,17,0,4,2,25,15,0,3,0,25,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_62.lg, Incorrect,27,9,18,8,10,0.6242259987499883,9,72,7,12,5,0,2,1,7,4,0,1,0,7,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_63.lg, Incorrect,166,45,121,45,76,0.48104151803942496,45,1980,33,80,38,0,6,3,34,19,0,2,0,34,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_64.lg, Incorrect,23,6,17,5,12,0.7950760615809189,6,30,4,10,6,0,2,1,5,2,0,0,0,5,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_65.lg, Incorrect,12,4,8,4,4,0.7979489500391171,4,12,2,6,2,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_66.lg, Incorrect,107,28,79,35,44,0.5215031534814125,28,756,17,52,22,0,10,5,18,11,0,0,0,18,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_67.lg, Incorrect,57,17,40,22,18,0.5469101240458162,17,272,11,29,9,0,4,2,12,9,0,1,0,12,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_68.lg, Incorrect,96,29,67,35,32,0.49525541215202246,29,812,23,49,16,0,4,2,23,9,0,3,0,23,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_69.lg, Incorrect,17,5,12,4,8,0.8023507337583865,5,20,2,7,4,0,2,1,3,2,0,1,0,3,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_70.lg, Incorrect,38,12,26,8,18,0.6043623850790985,12,132,11,17,9,0,0,0,12,4,0,2,0,12,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_72.lg, Incorrect,3,2,1,1,0,0.5690355937288492,2,2,1,1,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_73.lg, Incorrect,35,12,23,9,14,0.5810310095359419,12,132,11,15,7,0,2,1,11,5,0,1,0,11,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_103_em_74.lg, Incorrect,113,30,83,31,52,0.5177839662138409,30,870,19,54,26,0,6,3,20,12,0,2,0,20,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_75.lg, Incorrect,23,9,14,8,6,0.5765445621463038,9,72,8,11,3,0,0,0,8,3,0,0,0,8,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_104_em_76.lg, Incorrect,26,10,16,10,6,0.5599453037009817,10,90,6,13,3,0,0,0,7,4,0,2,0,7,0,0,0,0,0,0,0,0
